CC_FIPS	FULL_NAME_ND
CI	Abarca
CI	Abranquil
CI	Abtao
CI	Achacala
CI	Achacollo
CI	Achao
CI	Achuelo
CI	Achupallas
CI	Agua
CI	Agua Amarga
CI	Agua Amarilla
CI	Agua Buena
CI	Agua de Doro
CI	Agua de Lazo
CI	Agua Dulce
CI	Agua Fria
CI	Agua Grande
CI	Agua Larga
CI	Agua Salada
CI	Aguada
CI	Aguada de Cachinal
CI	Aguada del Pueblo
CI	Aguantao
CI	Aguas Blancas
CI	Aguas Buenas
CI	Aguas Calientes
CI	Aguas del Obispo
CI	Aguas del Volcan
CI	Agueita de la Perdiz
CI	Ahinco
CI	Ahoni
CI	Aico
CI	Aijota
CI	Aimani
CI	Aiquina
CI	Airacollo
CI	Airo
CI	Aitui
CI	Ajata
CI	Alao
CI	Alca
CI	Alcones
CI	Aldachildo
CI	Aldana
CI	Alerce
CI	Alfalfalito
CI	Algarrobal
CI	Algarrobito
CI	Algarrobo
CI	Algorta
CI	Alianza
CI	Alicahue
CI	Alicia de Penaflor
CI	Allipen
CI	Almagro
CI	Almendral
CI	Almendrillo
CI	Almendro
CI	Almirante Latorre
CI	Almireses
CI	Alojamiento de Quitala
CI	Alojamiento Sallihuinca
CI	Alona
CI	Alpajere
CI	Alqui
CI	Alsore
CI	Altamira
CI	Altar
CI	Alto de Callihue
CI	Alto de Jahuel
CI	Alto de la Posada
CI	Alto de los Padillas
CI	Alto de Nerquihue
CI	Alto de Qullaipe
CI	Alto de Ramirez
CI	Alto de Tuna
CI	Alto del Carmen
CI	Alto del Molino
CI	Alto del Puerto
CI	Alto Hospicio
CI	Alto Ramirez
CI	Altovalsol
CI	Altuza
CI	Amazaca
CI	Ambillo
CI	Americana
CI	Amincha
CI	Anaguani
CI	Anantocollo
CI	Ancagual
CI	Ancallapo
CI	Ancalle
CI	Ancara
CI	Ancayuconi
CI	Anchicha
CI	Ancoa
CI	Ancocalane
CI	Ancocalani
CI	Ancollo
CI	Ancomarca
CI	Ancopujo
CI	Ancovilque
CI	Ancovinto
CI	Ancuaque
CI	Ancud
CI	Ancue
CI	Ancuta
CI	Andacollo
CI	Andalien
CI	Andalue
CI	Angachilla
CI	Angol
CI	Angostura
CI	Animales
CI	Anticura
CI	Antiguala
CI	Antilhue
CI	Antillanca
CI	Antofagasta
CI	Antuco
CI	Antuta
CI	Apamilca
CI	Apatitas
CI	Apeche
CI	Apiao
CI	Apoquindo
CI	Arabilla
CI	Arauco
CI	Arboleda Grande
CI	Arenilla
CI	Arepunta
CI	Arica
CI	Arinia
CI	Ariquilda
CI	Arojani
CI	Aroma
CI	Arrayan
CI	Artificio
CI	Asa
CI	Asentamiento Chepa
CI	Asentamiento Cuatro de Septiembre
CI	Asentamiento Fundo Rio Pescado
CI	Aserradero La Paciencia
CI	Asiento Viejo
CI	Astillero
CI	Atacalco
CI	Atacama
CI	Atilla
CI	Aucar
CI	Auchac
CI	Aucho
CI	Auco
CI	Auquinco
CI	Ausipar
CI	Autilla
CI	Ayacara
CI	Ayarara
CI	Ayaviri
CI	Azapa
CI	Bahia Inglesa
CI	Bahia Mansa
CI	Bahia Murta
CI	Bajo Las Pataguas
